Area Name,Numerator,Denominator,Indicator Value
Budshead,77.4,41.5,53.6
Compton,79.6,58.7,73.8
Devonport,96.5,62.9,65.1
Drake,79.8,40.3,50.5
Efford and Lipson,88.5,53.3,60.3
Eggbuckland,81.2,51.8,63.9
Ham,81.3,42.7,52.5
Honicknowle,81.1,41.8,51.6
Moor View,77.5,55.5,71.6
Peverell,85.6,66.9,78.1
Plymstock Dunstone,77.9,55.5,71.2
Plymstock Radford,78.0,45.2,58.0
Plympton Chaddlewood,48.7,35.7,73.4
Plympton Erle,57.1,37.7,66.1
Plympton St Mary,79.6,49.0,61.5
Southway,80.0,46.8,58.5
St Budeaux,82.4,35.8,43.4
St Peter and the Waterfront,107.3,66.5,62.0
Stoke,91.2,54.6,59.9
Sutton and Mount Gould,95.8,51.1,53.4
Plymouth,1626.4,993.4,61.1
