Area Code,Area Code (old),Area Name,Numerator,Denominator,Indicator Value,LCI,UCI
E05002078,00HGMX,Budshead,"    2,803","   12,778",     21.9,     21.2,     22.7
E05002079,00HGMY,Compton,"    2,167","   12,677",     17.1,     16.4,     17.8
E05002080,00HGMZ,Devonport,"    3,153","   14,788",     21.3,     20.7,     22.0
E05002081,00HGNA,Drake,"    1,358","   11,149",     12.2,     11.6,     12.8
E05002082,00HGNB,Efford and Lipson,"    2,762","   14,092",     19.6,     19.0,     20.3
E05002083,00HGNC,Eggbuckland,"    2,753","   13,351",     20.6,     19.9,     21.3
E05002084,00HGND,Ham,"    3,340","   13,294",     25.1,     24.4,     25.9
E05002085,00HGNE,Honicknowle,"    3,688","   13,939",     26.5,     25.7,     27.2
E05002086,00HGNF,Moor View,"    2,806","   11,768",     23.8,     23.1,     24.6
E05002087,00HGNG,Peverell,"    2,197","   13,553",     16.2,     15.6,     16.8
E05002088,00HGNH,Plympton Chaddlewood,"    1,080","    8,190",     13.2,     12.5,     13.9
E05002089,00HGNJ,Plympton Erle,"    1,924","    8,853",     21.7,     20.9,     22.6
E05002090,00HGNK,Plympton St Mary,"    2,540","   12,856",     19.8,     19.1,     20.5
E05002091,00HGNL,Plymstock Dunstone,"    2,473","   12,278",     20.1,     19.4,     20.9
E05002092,00HGNM,Plymstock Radford,"    2,569","   12,480",     20.6,     19.9,     21.3
E05002093,00HGNN,St Budeaux,"    3,013","   13,369",     22.5,     21.8,     23.3
E05002094,00HGNP,St Peter and the Waterfront,"    3,620","   15,785",     22.9,     22.3,     23.6
E05002095,00HGNQ,Southway,"    2,799","   13,029",     21.5,     20.8,     22.2
E05002096,00HGNR,Stoke,"    2,622","   13,861",     18.9,     18.3,     19.6
E05002097,00HGNS,Sutton and Mount Gould,"    2,525","   14,294",     17.7,     17.0,     18.3
E06000028,00HN,Bournemouth UA,"   34,147","  183,491",     18.6,     18.4,     18.8
E06000023,00HB,Bristol UA,"   71,724","  428,234",     16.7,     16.6,     16.9
E06000043,00ML,Brighton and Hove UA,"   44,569","  273,369",     16.3,     16.2,     16.4
E08000035,00DA,Leeds MCD,"  125,678","  751,485",     16.7,     16.6,     16.8
E06000044,00MR,Portsmouth UA,"   32,859","  205,056",     16.0,     15.9,     16.2
E08000012,00BY,Liverpool MCD,"  104,620","  466,415",     22.4,     22.3,     22.6
E08000019,00CG,Sheffield MCD,"  103,715","  552,698",     18.8,     18.7,     18.9
E06000045,00MS,Southampton UA,"   38,399","  236,882",     16.2,     16.1,     16.4
E08000021,00CJ,Newcastle upon Tyne MCD,"   52,577","  280,177",     18.8,     18.6,     18.9
E08000006,00BR,Salford MCD,"   48,417","  233,933",     20.7,     20.5,     20.9
E06000026,00HG,Plymouth UA,"   52,192","  256,384",     20.4,     20.2,     20.5
,E92000001,England,"9,352,586","53,012,456",     17.6,     17.6,     17.7
